Time_Taken(seconds),Num_Iterations
.73488040000000000000, 1000
1.40173160000000000000, 2000
2.73727740000000000000, 4000
4.01658740000000000000, 6000
5.38908440000000000000, 8000
6.68928180000000000000, 10000
